,plant,country,region,customer,date,carbuilds
0,10th of Ramadan City,Egypt,Middle East/Africa,Al Amal,jan 2010,191
1,10th of Ramadan City,Egypt,Middle East/Africa,Al Amal,jan 2010,0
2,10th of Ramadan City,Egypt,Middle East/Africa,FAW,jan 2010,0
3,10th of Ramadan City,Egypt,Middle East/Africa,Al Amal,jan 2010,0
4,6th of October City,Egypt,Middle East/Africa,Egyptian German Automotive,jan 2010,171
5,6th of October City,Egypt,Middle East/Africa,FAW,jan 2010,0
6,6th of October City,Egypt,Middle East/Africa,General Motors,jan 2010,1248
7,6th of October City,Egypt,Middle East/Africa,Egyptian German Automotive,jan 2010,0
8,6th of October City,Egypt,Middle East/Africa,General Motors,jan 2010,1571
9,6th of October City,Egypt,Middle East/Africa,Renault-Nissan-Mitsubishi,jan 2010,1009
10,6th of October City,Egypt,Middle East/Africa,Egyptian German Automotive,jan 2010,0
11,6th of October City,Egypt,Middle East/Africa,General Motors,jan 2010,93
12,6th of October City,Egypt,Middle East/Africa,Suzuki,jan 2010,281
13,Aachen,Germany,Europe,e.GO,jan 2010,0
14,Aachen,Germany,Europe,StreetScooter,jan 2010,0
15,Aachen,Germany,Europe,e.GO,jan 2010,0
16,Ain Bouchekif,Algeria,Middle East/Africa,Daimler,jan 2010,0
17,Antwerp,Belgium,Europe,General Motors,jan 2010,4125
18,Argun,Russia,Europe,AvtoVAZ,jan 2010,60
19,Arifye,Turkey,Europe,Otokar,jan 2010,51
20,Arifye,Turkey,Europe,Otokar,jan 2010,73
21,Asaka,Uzbekistan,Europe,,jan 2010,4356
22,Asaka,Uzbekistan,Europe,,jan 2010,570
23,Aulnay,France,Europe,PSA,jan 2010,18849
24,AutoFramos,Russia,Europe,Renault-Nissan-Mitsubishi,jan 2010,5691
25,Avila,Spain,Europe,Renault-Nissan-Mitsubishi,jan 2010,975
26,Bahovitsa,Bulgaria,Europe,Great Wall,jan 2010,0
27,Bairo Canavese,Italy,Europe,Pininfarina,jan 2010,0
28,Bairo Canavese,Italy,Europe,Pininfarina,jan 2010,151
29,Bairo Canavese,Italy,Europe,Pininfarina,jan 2010,290
30,Bam,Iran,Middle East/Africa,Geely,jan 2010,0
31,Bam,Iran,Middle East/Africa,Geely,jan 2010,0
32,Bam,Iran,Middle East/Africa,Geely,jan 2010,189
33,Bam (IKCO Diesel),Iran,Middle East/Africa,Iran Khodro,jan 2010,270
34,Barcelona,Spain,Europe,Renault-Nissan-Mitsubishi,jan 2010,4452
35,Batilly,France,Europe,Renault-Nissan-Mitsubishi,jan 2010,4826
36,Batna (BAIC),Algeria,Middle East/Africa,BAIC,jan 2010,0
37,Batna (Kia),Algeria,Middle East/Africa,,jan 2010,0
