,plant,country,region,customer,jan 2010,feb 2010,mar 2010,apr 2010,may 2010,jun 2010,jul 2010,aug 2010,sep 2010,oct 2010,nov 2010,dec 2010,jan 2011,feb 2011,mar 2011,apr 2011,may 2011,jun 2011,jul 2011,aug 2011,sep 2011,oct 2011,nov 2011,dec 2011,jan 2012,feb 2012,mar 2012,apr 2012,may 2012,jun 2012,jul 2012,aug 2012,sep 2012,oct 2012,nov 2012,dec 2012,jan 2013,feb 2013,mar 2013,apr 2013,may 2013,jun 2013,jul 2013,aug 2013,sep 2013,oct 2013,nov 2013,dec 2013,jan 2014,feb 2014,mar 2014,apr 2014,may 2014,jun 2014,jul 2014,aug 2014,sep 2014,oct 2014,nov 2014,dec 2014,jan 2015,feb 2015,mar 2015,apr 2015,may 2015,jun 2015,jul 2015,aug 2015,sep 2015,oct 2015,nov 2015,dec 2015,jan 2016,feb 2016,mar 2016,apr 2016,may 2016,jun 2016,jul 2016,aug 2016,sep 2016,oct 2016,nov 2016,dec 2016,jan 2017,feb 2017,mar 2017,apr 2017,may 2017,jun 2017,jul 2017,aug 2017,sep 2017,oct 2017,nov 2017,dec 2017,jan 2018,feb 2018,mar 2018,apr 2018,may 2018,jun 2018,jul 2018,aug 2018,sep 2018,oct 2018,nov 2018,dec 2018,jan 2019,feb 2019,mar 2019,apr 2019,may 2019,jun 2019,jul 2019,aug 2019,sep 2019,oct 2019,nov 2019,dec 2019,jan 2020,feb 2020,mar 2020,apr 2020,may 2020,jun 2020,jul 2020,aug 2020,sep 2020,oct 2020,nov 2020,dec 2020,jan 2021,feb 2021,mar 2021,apr 2021,may 2021,jun 2021,jul 2021,aug 2021,sep 2021,oct 2021,nov 2021,dec 2021
0,10th of Ramadan City,Egypt,Middle East/Africa,Al Amal,191,200,178,190,155,160,152,123,181,176,168,173,160,142,167,159,163,171,158,111,109,139,170,121,143,41,11,0,23,12,17,100,18,83,271,224,191,136,14,34,168,160,89,21,132,167,176,112,160,176,197,160,160,144,112,0,0,0,0,0,0,0,0,0,0,0,1,6,17,82,30,14,45,0,17,12,10,5,25,12,36,55,100,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,81,119,136,30,90,120,96,120,132,120,114,108,120,120,120,30,90,120,96,120,132,120,114,0,0,0,0,0,0,0,0,0,0,0,0
1,10th of Ramadan City,Egypt,Middle East/Africa,Al Amal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,7,14,21,27,37,48,46,64,58,58,60,44,30,39,45,36,60,12,39,84,51,42,66,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,226,590,80,20,61,82,66,82,64,58,55,73,82,82,82,20,61,82,65,82,90,82,78,115,115,132,75,69,121,92,121,121,109,121,115
2,10th of Ramadan City,Egypt,Middle East/Africa,FAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,26,79,105,84,105,116,105,100,107,119,119,119,30,89,119,95,119,131,119,113,130,130,150,85,78,137,104,137,137,124,137,130
3,10th of Ramadan City,Egypt,Middle East/Africa,Al Amal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,5,3,10,21,48,89,75,135,128,132,143,102,98,62,122,222,159,168,54,93,210,174,174,177,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6th of October City,Egypt,Middle East/Africa,Egyptian German Automotive,171,213,201,231,255,185,274,155,184,248,219,302,306,61,86,57,99,116,79,88,129,70,0,214,113,184,215,198,158,149,156,38,182,137,187,124,89,116,160,160,199,203,49,116,222,197,221,151,228,173,158,115,105,86,74,136,184,213,249,186,202,205,192,200,110,94,91,85,86,94,103,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6th of October City,Egypt,Middle East/Africa,FAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,10,20,30,52,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6th of October City,Egypt,Middle East/Africa,General Motors,1248,1687,1595,1097,1533,2303,3018,1755,2508,2298,1885,2069,2123,1144,1657,1813,2383,3069,2717,2284,3269,3452,2813,2749,1641,2671,3870,3144,3061,2581,3459,3886,3899,3607,3941,3581,3214,3044,3458,3552,3403,2452,1682,1588,3436,2741,3065,3771,3370,3089,3822,3989,3850,3912,2766,4326,4417,3398,3301,4781,3490,4416,3986,3147,2774,3131,2356,4543,3788,3606,3413,3180,2510,908,1765,2512,2350,3113,2747,2661,2611,2682,3030,1981,1568,614,1321,2193,2222,1766,2327,2496,1636,1961,1736,2737,2455,2315,2376,2431,2449,2213,2615,2374,3027,2973,2264,2787,1858,1590,2483,2545,1940,2449,2668,2548,2742,2776,2787,2725,2251,2501,2501,2501,625,1876,2501,2000,2501,2751,2501,2376,2387,2387,2745,1551,1432,2506,1909,2506,2506,2268,2506,2387
7,6th of October City,Egypt,Middle East/Africa,Egyptian German Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,15,96,96,24,72,96,77,96,106,96,103,383,426,426,426,106,319,426,340,426,436,397,377,493,493,567,321,296,518,395,518,518,468,518,493
8,6th of October City,Egypt,Middle East/Africa,General Motors,1571,1559,1822,1378,1712,1580,1130,2503,1941,1844,2043,1436,1549,42,32,68,97,84,45,45,36,60,55,251,188,130,109,160,120,96,91,86,97,116,170,102,120,103,119,131,124,86,77,92,172,84,145,137,151,138,153,160,170,160,105,259,177,164,245,243,208,198,244,246,155,135,154,241,234,219,187,158,94,75,21,55,20,117,144,24,48,72,61,24,32,39,48,82,62,52,95,117,94,4,24,36,104,167,79,42,25,47,89,138,71,96,130,155,81,130,43,32,37,54,39,37,31,67,24,38,52,58,58,58,14,43,58,46,58,63,58,55,42,42,49,27,25,44,34,44,44,40,44,42
9,6th of October City,Egypt,Middle East/Africa,Renault-Nissan-Mitsubishi,1009,913,1112,855,1194,1237,1235,911,1027,1350,1164,1169,777,236,725,893,735,1058,1030,847,0,0,0,12,199,659,779,641,764,931,810,779,1116,1275,1298,1116,796,1155,1236,1326,1098,1152,293,334,837,1381,1296,1195,2195,2215,2311,2006,1911,2394,1920,2121,2253,1999,2495,2336,1240,1744,2222,1929,1490,1718,1469,1601,1941,3135,2427,2210,2186,1922,2462,1585,1780,1488,1707,1479,1471,1656,913,1385,1727,1243,1541,1083,1164,1173,1359,1499,1588,1575,1546,1510,1589,1582,2197,1786,1858,1777,1556,1677,2002,1950,1719,1906,1124,1834,1860,1860,632,1592,1920,1843,2304,2534,2304,2189,2235,2483,2483,2483,621,1863,2483,1987,2483,2731,2483,2359,3446,3446,3963,2240,2068,3618,2756,3618,3618,3275,3618,3446
10,6th of October City,Egypt,Middle East/Africa,Egyptian German Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,17,19,23,27,29,30,32,42,42,32,22,20,27,38,40,33,42,45,57,49,52,46,41,34,45,63,48,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6th of October City,Egypt,Middle East/Africa,General Motors,93,173,124,8,242,96,213,119,96,73,170,82,166,41,44,80,85,15,1,78,16,0,0,0,0,0,0,0,3,4,64,40,83,227,135,378,237,249,303,355,307,189,238,224,297,284,341,323,290,346,332,347,410,405,241,395,342,313,339,322,268,306,484,368,393,293,353,475,350,300,315,475,680,405,220,269,31,87,150,157,125,268,183,150,59,2,99,157,97,95,159,146,32,122,59,109,150,136,46,110,121,89,127,128,116,123,66,232,60,45,209,253,207,132,224,176,207,183,212,236,216,240,240,240,60,180,240,192,240,264,240,228,440,440,506,286,264,462,352,462,462,418,462,440
12,6th of October City,Egypt,Middle East/Africa,Suzuki,281,369,437,652,800,706,754,619,254,282,318,308,240,290,240,240,220,202,220,210,300,312,300,300,300,350,350,350,352,351,360,357,354,355,354,350,350,360,360,350,370,350,82,237,351,440,450,450,450,450,450,450,450,450,450,560,560,560,560,560,560,600,600,657,599,600,600,600,600,600,600,600,600,600,596,604,600,539,654,591,620,397,394,401,285,468,200,207,210,280,410,394,135,123,62,135,45,75,13,119,325,343,689,318,287,239,321,512,253,287,360,360,90,270,360,288,360,396,360,342,418,464,464,464,116,348,464,371,464,510,464,441,474,474,545,308,284,497,379,497,497,450,497,474
13,Aachen,Germany,Europe,e.GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,87,114,75,125,137,131,100,211,192,202,192,202,173,221,106,202,211,192,163,211,192,211,192,182,202,173,134,211,211,202,182,211,211,232,222,190,232,180,158,232,211,232,190
14,Aachen,Germany,Europe,StreetScooter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,123,35,82,116,78,72,96,145,137,39,69,258,382,243,380,265,194,45,85,90,359,355,827,904,347,85,359,346,363,446,428,463,480,207,446,420,363,276,435,396,415,396,415,356,455,218,415,435,396,336,431,392,431,392,372,411,353,274,431,431,411,372,461,461,507,484,415,507,392,346,507,461,507,415
15,Aachen,Germany,Europe,e.GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,101,91,96,96,106,101,86,106,82,72,106,96,106,93
16,Ain Bouchekif,Algeria,Middle East/Africa,Daimler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,59,82,50,68,72,72,54,54,63,85,91,99,151,141,161,372,386,360,377,356,247,454,407,405,262,377,368,410,417,410,396,403,374,403,404,401,393,380,367,359,350,333,333,336,320,338,327,330,333,236,224,224,247,35,206,295,270,317,317,288,274,252,240,276,252,60,264,240,272,272,246,260,272,262,262,287,100,150,276,250,238,276,250,276,287
17,Antwerp,Belgium,Europe,General Motors,4125,6813,6011,6121,1759,5341,2619,2861,5628,4112,3504,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Argun,Russia,Europe,AvtoVAZ,60,22,40,0,0,0,0,0,0,0,0,0,0,0,0,112,111,98,130,101,0,0,25,101,10,11,222,60,246,140,0,0,102,140,110,180,0,0,160,320,0,6,0,16,113,0,0,176,0,0,0,0,80,0,0,2,0,0,0,0,0,80,0,240,340,383,0,600,300,649,180,50,528,616,554,656,701,450,350,573,615,308,235,613,1064,266,410,529,491,461,649,226,643,693,704,697,399,254,648,708,554,612,631,486,203,38,323,1158,242,279,724,1083,1033,935,1131,1083,1033,1131,984,1083,546,840,924,924,840,882,966,882,924,924,840,966,356,615,711,711,680,711,711,711,711,680,680,744
19,Arifye,Turkey,Europe,Otokar,51,56,27,0,16,1,10,55,24,17,13,16,20,19,16,16,14,0,3,5,20,16,10,29,66,116,129,125,177,163,173,190,69,50,47,30,9,3,3,4,4,0,0,8,0,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,2,6,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Arifye,Turkey,Europe,Otokar,73,121,62,25,8,28,26,24,8,12,10,185,17,32,42,11,48,69,39,46,55,66,123,127,20,0,16,17,32,35,16,49,66,37,36,23,0,26,41,22,7,100,26,15,47,15,72,184,27,25,25,11,40,50,20,13,30,11,81,97,0,0,27,42,54,64,63,45,65,20,100,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Asaka,Uzbekistan,Europe,General Motors,4356,15810,16935,17944,17390,17690,16973,16890,16622,16000,17560,17643,4745,17988,17925,18465,17470,18874,17276,16384,17929,16000,15212,16997,14,12752,21294,19779,20296,20301,17191,19575,20833,16165,17000,17853,5326,17781,17126,21208,22544,22336,19204,20016,22006,18064,17981,11206,7012,18875,20660,22242,21994,20941,20778,18811,20960,14757,20289,6958,8036,18846,19844,19353,11843,22797,12289,144,11270,5786,9656,11580,2144,5188,6834,4568,4403,4995,3796,2271,8571,7259,7413,8715,6526,7276,6772,11575,9766,10751,11029,9320,7426,8939,9250,8454,9102,9688,10200,9919,10390,10407,12958,12557,11993,16490,20919,29966,12427,15766,15529,12003,11458,10366,12549,11422,10904,11942,10384,11422,5634,8666,9533,7791,7082,7437,8145,7437,7791,7791,7082,8145,3104,5361,6207,6207,5926,6207,6207,6207,6207,5926,5926,6490
22,Asaka,Uzbekistan,Europe,Suzuki,570,1900,1975,1750,2000,1875,1920,1870,1869,1400,1590,2181,433,1791,1682,1957,1570,1676,2074,1833,1903,1400,1798,1495,5,1826,2614,2243,2523,2471,2309,2494,2428,2073,1900,2394,474,2076,2045,2161,2445,2439,2323,2702,2694,2264,1177,42,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
